,noise,distortion,hdToTestRobustTime,hdToTestTime,avSurfDistToTestTime,myRobustHdTime,myHdTime,mymedianHdTime,olivieraTime,hdToTestRobustValue,hdToTestValue ,myRobustHdValue,myHdValue,mymeanHdValue,olivieraValue,avSurfDistToTestValue,WIDTH,HEIGHT,DEPTH,hdToTestValue,translations
0,0.0,0.0,2.0616230499999997,2.0928537500000015,2.1076063000000005,0.06462490000000187,0.013598449999999929,0.0176954500000015,0.1302381,180.13636501063783,294.8762452284009,85.0,118.0,36.061180114746094,115.0,233.71094523750983,336.0,250.0,371.0,294.8762452284009,0.0
1,0.0,0.0,1.9104313000000026,1.9572760999999979,1.909922299999998,0.053804700000000594,0.013339750000000095,0.02563299999999913,0.3155366,1.0,118.85285019720814,40.0,75.0,5.958008766174316,78.0,39.60232288099588,336.0,250.0,371.0,118.85285019720814,0.0
2,0.0,0.0,1.6396937499999993,1.7210942000000031,1.7246701999999985,0.04693960000000175,0.03178799999999882,0.01879664999999875,0.330052,1.0,136.0514608521349,38.0,61.0,10.902582168579102,62.0,66.5935748461789,336.0,250.0,371.0,136.0514608521349,0.0
3,0.0,0.0,5.8903721999999945,5.9146512999999885,5.908694150000002,0.04129414999999881,0.015339850000003707,0.04440035000000364,0.2993018,6.0,305.8414621989635,35.0,97.0,7.090909481048584,96.0,106.31858928937622,336.0,250.0,371.0,305.8414621989635,0.0
4,0.0,0.0,2.079722650000008,2.0967356499999994,2.09805025,0.06305120000000386,0.014100349999992545,0.017555599999994342,0.3572516,180.13636501063783,294.8762452284009,85.0,118.0,36.06117630004883,115.0,233.71094523750986,336.0,250.0,371.0,294.8762452284009,0.0
5,0.0,0.0,2.846673700000011,2.814848150000003,2.8217141000000083,0.0446401000000094,0.02736465000000976,0.016796800000008716,0.3721037,246.43221379518155,325.9509165503297,96.0,129.0,46.775428771972656,125.0,284.6557419078855,336.0,250.0,371.0,325.9509165503297,0.0
6,0.0,0.0,1.0945768999999927,1.1815497499999879,1.1326467500000206,0.06986790000001974,0.012602000000015323,0.013830099999978529,0.3692213,112.16505694733989,224.8399430706208,66.0,90.0,43.039485931396484,91.0,161.46448400670872,336.0,250.0,371.0,224.8399430706208,0.0
7,0.0,0.0,5.508342150000004,5.491120850000016,5.468772450000017,0.058623000000011416,0.016811749999988024,0.02379239999999072,0.3936208,3.0,328.28189106315324,102.0,140.0,40.36933517456055,150.0,130.62480123407522,336.0,250.0,371.0,328.28189106315324,0.0
8,0.0,0.0,1.884031250000021,1.9409129000000007,1.9446569000000125,0.05275410000001557,0.01431744999999296,0.01932360000000699,0.3476921,1.0,118.85285019720814,40.0,75.0,5.958012104034424,78.0,39.60232288099588,336.0,250.0,371.0,118.85285019720814,0.0
9,0.0,0.0,2.8034203500000103,2.8064925500000015,2.763972750000022,0.06202594999999178,0.013472250000006625,0.016537350000021434,0.3750186,246.43221379518155,325.9509165503297,96.0,129.0,46.9219856262207,125.0,284.6557419078855,336.0,250.0,371.0,325.9509165503297,0.0
