"name" "pVal" "meanMonaiTime" "myMeanTime" "correlation"
"1" "Hausdorff distance" 2.83116365572251e-314 4.57789230929111 0.0225550792696034 0.88715998422799
"2" "robust Hausdorff distance" 4.76924572970687e-137 4.56997518464014 0.0321376749194565 0.698298655056227
"3" "mean Hausdorff distance or mean surface distance" 0 4.589766195435 0.0235664829752812 0.900852533701222
"4" "Oliviera and mine " 0 0.351657052309345 0.0225550792696034 0.998921449000157
